id,sku,slug,name_ar,name_en,category_ar,category_en,vendor,price,status,createdAt
584a4cba-9c37-4b4b-9d4e-17f7cb0267c5,AC49338B,mienta-air-cooler-ac49338b-grey,ميانتا مبرد هواء AC49338B رمادي,Mienta Air Cooler AC49338B Grey,مبردات مياه,Water Dispenser,Rezk Store,6699.00,active,2026-08-23 13:10:52.259
67754ef0-7ff5-4721-ba29-8f515901d0b7,WF50638A,mienta-wall-fan-wf50638a-18-inch-black,ميانتا مروحة حائط WF50638A 18 بوصة أسود,Mienta Wall Fan WF50638A 18 Inch Black,مراوح,Fans,Rezk Store,1779.00,active,2026-08-23 13:08:48.428
13c916fc-5257-4ab3-921e-6bb54ac79cac,WF50538A,mienta-wall-fan-wf50538a-18-inch-black,ميانتا مروحة حائط WF50538A 18 بوصة أسود,Mienta Wall Fan WF50538A 18 Inch Black,مراوح,Fans,Rezk Store,1579.00,active,2026-08-23 13:08:48.424
1362225c-6710-4618-ab54-0d9e585c7974,SF351438A,mienta-stand-fan-sf351438a-18-inch-black,ميانتا مروحة استاند SF351438A 18 بوصة أسود,Mienta Stand Fan SF351438A 18 Inch Black,مراوح,Fans,Rezk Store,2449.00,active,2026-08-23 13:08:48.418
7a90c778-bf45-4fa9-af5a-15a5f78415d3,SF351338A,mienta-stand-fan-sf351338a-18-inch-black,ميانتا مروحة استاند SF351338A 18 بوصة أسود,Mienta Stand Fan SF351338A 18 Inch Black,مراوح,Fans,Rezk Store,1999.00,active,2026-08-23 13:08:48.403
63259a4a-5cb6-414a-9bd0-dede04aed75f,HYU-CB-2310,hyundai-vacuum-cleaner-hyu-cb-2310-2400-watt-grey,هيونداي مكنسة كهربائية HYU-CB-2310 2400 واط رمادي,Hyundai Vacuum Cleaner HYU-CB-2310 2400 Watt Grey,مكانس كهربائية,Vacuum cleaner,Rezk Store,6599.00,active,2026-08-23 12:53:25.41
1c0180e5-7bec-4f32-b231-d2bc57bbddf2,HYU-CC-2308A,hyundai-vacuum-cleaner-hyu-cc-2308a-2200-watt-grey,هيونداي مكنسة كهربائية HYU-CC-2308A 2200 واط رمادي,Hyundai Vacuum Cleaner HYU-CC-2308A 2200 Watt Grey,مكانس كهربائية,Vacuum cleaner,Rezk Store,5599.00,active,2026-08-23 12:53:25.406
f3ef2a9e-f1c3-4098-8304-8d463f7d6c5d,HYU-CB-1601,hyundai-vacuum-cleaner-hyu-cb-1601-1800-watt-grey,هيونداي مكنسة كهربائية HYU-CB-1601 1800 واط رمادي,Hyundai Vacuum Cleaner HYU-CB-1601 1800 Watt Grey,مكانس كهربائية,Vacuum cleaner,Rezk Store,3999.00,active,2026-08-23 12:53:25.398
79aeef47-72d5-42d7-8f5a-efedecc9b3de,HYU-629,hyundai-water-dispenser-hyu-629-black,هيونداي مبرد مياه HYU-629 أسود,Hyundai Water Dispenser HYU-629 Black,مبردات مياه,Water Dispenser,Rezk Store,12499.00,active,2026-08-23 12:46:29.025
6cb55ab5-fca0-47dc-815f-928fc2451b05,HYU-2107S,hyundai-water-dispenser-hyu-2107s-3-taps-silver,هيونداي مبرد مياه HYU-2107S 3 حنفية فضي,Hyundai Water Dispenser HYU-2107S 3 Taps Silver,مبردات مياه,Water Dispenser,Rezk Store,8499.00,active,2026-08-23 12:46:29.018
