Product code;Language;Vendor;Product id;Category
"H96ATBLX";"en";"SCT";"1027";""
"";"ar";"";"";""
"";"en";"demo";"1044";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"demo";"1055";""
"";"ar";"";"";""
"";"en";"Acme Corporation";"1056";""
"";"ar";"";"";""
"";"en";"demo";"1060";""
"";"ar";"";"";""
"";"en";"demo";"1064";""
"";"ar";"";"";""
"";"en";"H2";"1088";""
"";"ar";"";"";""
"";"en";"H2";"1089";""
"";"ar";"";"";""
"";"en";"H2";"1090";""
"";"ar";"";"";""
"";"en";"H2";"1092";""
"";"ar";"";"";""
"";"en";"H2";"1258";""
"";"ar";"";"";""
"";"en";"H2";"1462";""
"";"ar";"";"";""
"";"en";"H2";"1472";""
"";"ar";"";"";""
"";"en";"H2";"1473";""
"";"ar";"";"";""
"";"en";"H2";"2112";""
"";"ar";"";"";"""";"en";"H2";"2230";""
"";"ar";"";"";""
"";"";"";"";""
"";"ar";"Mobiz";"2584";"اجهزة شبكات"
"";"en";"Mobiz";"2584";"NETWORKING"
"";"";"";"";""
"";"en";"EL-Mokhtar";"2587";"NETWORKING"
"";"ar";"";"";"اجهزة شبكات"
"";"en";"EL-Mokhtar";"2588";"NETWORKING"
"";"ar";"";"";"اجهزة شبكات"
"";"en";"EL-Mokhtar";"2590";"NETWORKING"
"";"ar";"";"";"اجهزة شبكات"
"";"en";"EL-Mokhtar";"2591";"NETWORKING"
"";"ar";"";"";"اجهزة شبكات"
"";"en";"EL-Mokhtar";"2592";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2593";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"";"";"";""
"";"ar";"Mobiz";"2594";"موبايلات و تابلت"
"";"en";"Mobiz";"2594";"MOBILE & TABLET"
"";"";"";"";""
"";"en";"EL-Mokhtar";"2595";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2596";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2597";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"";"";"";""
"";"ar";"EL-Mokhtar";"2598";"موبايلات و تابلت""";"en";"EL-Mokhtar";"2598";"MOBILE & TABLET"
"";"";"";"";""
"";"en";"EL-Mokhtar";"2599";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2600";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
"";"en";"EL-Mokhtar";"2601";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2602";"Watches & Accessories "
"";"ar";"";"";"ساعات و اكسسوارات"
"";"en";"EL-Mokhtar";"2603";"Watches & Accessories ///watches"
"";"ar";"";"";"ساعات و اكسسوارات///ساعات"
"";"en";"EL-Mokhtar";"2604";"Watches & Accessories ///watches"
"";"ar";"";"";"ساعات و اكسسوارات///ساعات"
"";"en";"EL-Mokhtar";"2605";"CAMERAS & PHOTOS"
"";"ar";"";"";"كاميرات تصوير"
"";"en";"EL-Mokhtar";"2606";"CAMERAS & PHOTOS"
"";"ar";"";"";"كاميرات تصوير"
"";"en";"EL-Mokhtar";"2607";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2608";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2609";"Toys ///Bicycle"
"";"ar";"";"";"العاب الاطفال///عجل"
"";"en";"EL-Mokhtar";"2610";"Toys "
"";"ar";"";"";"العاب الاطفال"
"";"en";"EL-Mokhtar";"2611";"Toys "
"";"ar";"";"";"العاب الاطفال"
"";"en";"EL-Mokhtar";"2612";"Toys "
"";"ar";"";"";"العاب الاطفال""";"en";"EL-Mokhtar";"2613";"Toys "
"";"ar";"";"";"العاب الاطفال"
"";"en";"EL-Mokhtar";"2614";"Toys "
"";"ar";"";"";"العاب الاطفال"
"";"en";"EL-Mokhtar";"2615";"Toys "
"";"ar";"";"";"العاب الاطفال"
"";"en";"EL-Mokhtar";"2616";"Toys ///Bicycle"
"";"ar";"";"";"العاب الاطفال///عجل"
"";"en";"EL-Mokhtar";"2617";"Toys ///Bicycle"
"";"ar";"";"";"العاب الاطفال///عجل"
"";"en";"EL-Mokhtar";"2618";"Toys ///Bicycle"
"";"ar";"";"";"العاب الاطفال///عجل"
"";"en";"EL-Mokhtar";"2620";"CAMERAS & PHOTOS"
"";"ar";"";"";"كاميرات تصوير"
"";"en";"EL-Mokhtar";"2621";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2622";"SMALL HOME APPLIANCES ///Electric oven "
"";"ar";"";"";"اجهزة منزلية صغيرة///افران كهربائيه"
"";"en";"EL-Mokhtar";"2623";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2624";"SMALL HOME APPLIANCES ///Electric oven "
"";"ar";"";"";"اجهزة منزلية صغيرة///افران كهربائيه"
"";"en";"EL-Mokhtar";"2625";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2626";"SMALL HOME APPLIANCES ///Electric oven "
"";"ar";"";"";"اجهزة منزلية صغيرة///افران كهربائيه"
"";"en";"EL-Mokhtar";"2627";"Toys "
"";"ar";"";"";"العاب الاطفال"
"";"en";"EL-Mokhtar";"2628";"Toys "
"";"ar";"";"";"العاب الاطفال""";"en";"EL-Mokhtar";"2629";"kitchen ware"
"";"ar";"";"";"ادوات المطبخ"
"";"en";"EL-Mokhtar";"2630";"kitchen ware///cookware set"
"";"ar";"";"";"ادوات المطبخ///اواني الطهي "
"";"en";"EL-Mokhtar";"2631";"kitchen ware///cookware set"
"";"ar";"";"";"ادوات المطبخ///اواني الطهي "
"";"en";"EL-Mokhtar";"2632";"kitchen ware///cookware set"
"";"ar";"";"";"ادوات المطبخ///اواني الطهي "
"";"en";"EL-Mokhtar";"2633";"kitchen ware///cookware set"
"";"ar";"";"";"ادوات المطبخ///اواني الطهي "
"";"en";"EL-Mokhtar";"2634";"kitchen ware///cookware set"
"";"ar";"";"";"ادوات المطبخ///اواني الطهي "
"";"en";"EL-Mokhtar";"2635";"kitchen ware///cookware set"
"";"ar";"";"";"ادوات المطبخ///اواني الطهي "
"";"en";"EL-Mokhtar";"2636";"kitchen ware///cookware set"
"";"ar";"";"";"ادوات المطبخ///اواني الطهي "
"";"en";"EL-Mokhtar";"2637";"SMALL HOME APPLIANCES ///microwave"
"";"ar";"";"";"اجهزة منزلية صغيرة///ميكروويف"
"";"en";"EL-Mokhtar";"2638";"SMALL HOME APPLIANCES ///microwave"
"";"ar";"";"";"اجهزة منزلية صغيرة///ميكروويف"
"";"en";"EL-Mokhtar";"2639";"SMALL HOME APPLIANCES ///microwave"
"";"ar";"";"";"اجهزة منزلية صغيرة///ميكروويف"
"";"en";"EL-Mokhtar";"2640";"SMALL HOME APPLIANCES ///microwave"
"";"ar";"";"";"اجهزة منزلية صغيرة///ميكروويف"
"";"en";"EL-Mokhtar";"2641";"SMALL HOME APPLIANCES ///microwave"
"";"ar";"";"";"اجهزة منزلية صغيرة///ميكروويف"
"";"en";"EL-Mokhtar";"2642";"SMALL HOME APPLIANCES ///microwave"
"";"ar";"";"";"اجهزة منزلية صغيرة///ميكروويف"
"";"en";"EL-Mokhtar";"2643";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية""";"en";"EL-Mokhtar";"2644";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2645";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2646";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2647";"HOME APPLIANCES///TVs"
"";"ar";"";"";"الاجهزة المنزلية///تليفزيون"
"";"en";"EL-Mokhtar";"2648";"HOME APPLIANCES///TVs"
"";"ar";"";"";"الاجهزة المنزلية///تليفزيون"
"";"en";"EL-Mokhtar";"2649";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2652";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2653";"Watches & Accessories "
"";"ar";"";"";"ساعات و اكسسوارات"
"";"en";"EL-Mokhtar";"2654";"Watches & Accessories "
"";"ar";"";"";"ساعات و اكسسوارات"
"";"en";"EL-Mokhtar";"2656";"Tools & Equipment"
