Vendor name;Vendor language;Language;E-mail;Phone;Address;City;Country;State;Zipcode
"Acme Corporation";"en";"en";"corporationacme@example.com";"+1-123-456-7891";"Boston street";"Boston";"US";"MA";"01234"
"Sailtechno";"en";"en";"sailtechno@example.com";"+1-123-456-7812";"4525 Jacobs Street";"Pittsburgh";"EG";"CA";"31311"
"Mobiz";"en";"en";"krandkrrand@yahoo.com";"0165281";"hoyug";"CAIRO";"EG";"cairo";"113148"
"SCT";"en";"en";"sct75@outlook.com";"01112842550";"43 DOWNTOWN";"CAIRO";"EG";"CA";"cairo"
"demo";"en";"en";"demo@hagatnaa.com";"875684356";"97676997 fiyfy";"CAIRO";"EG";"CA";"113148"
"D2";"en";"en";"doaa.ramdan@hagatnaa.com";"657457";"43 DOWNTOWN";"CAIRO";"EG";"القاهرة";"cairo"
"H2";"en";"en";"hany.radwan@hagatnaa.com";"6575";"43 DOWNTOWN";"CAIRO";"EG";"القاهرة";"765763"
"Best Mart";"en";"en";"ahmed.aboelaa@gmail.com";"+201001970520";"المعادي";"القاهرة ";"EG";"CA";"١١١١١"
"together for electronic and commerce and distribution";"en";"en";"m-lubad@hotmail.com";"1098784766";"82 shbelya, heliopolis,, 82 Ashbelya, Sheraton Al Matar, Qism El-Nozha, Cairo Governorate";"cairo";"EG";"CA";"11799"
"Rooka shop";"en";"en";"asmny87@gmail.com";"01125455589";"38 شارع رشاد عبد الهادي متفرع من شارع الفيوم الرئيسي-دارالسلام الملاه, الدور الأخير شقة 15";"القاهرة";"EG";"القاهرة";"01146"
"N2";"en";"en";"Naseralwraky@gmail.com";"01003429208";"شبرا";"القاهرة";"EG";"CA";"11314"
"كذا موضة";"en";"en";"sheryrabee9@gmail.com";"01019520490";"23 ش مسجد ابو بكر الصديق متفرع من احمد عصمت";"عين شمس";"EG";"CA";"1234"
"صيدليه";"en";"en";"DRMOKAGEORGE1990@GMAIL.COM";"1289933703";"315 Z Ground Floor";"Haddayek El -Ahram 1st Gate";"EG";"CA";"511111"
"صيدليه";"en";"en";"Mgs1631990@GMAIL.COM";"1289933703";"315 Z Ground Floor";"Haddayek El -Ahram 1st Ga";"EG";"الجيزه";"511111"
"MYS";"en";"en";"M.adel.morsy@gmail.com";"01222545799";"Abo Youseef Elsalam Street ";"Alagamy ";"EG";"ALEX";"00203"
"Gamgom furniture";"en";"en";"tabarakfurniture@yahoo.com";"01279467915";"Faysal";"Gize";"EG";"CA";"02"
"Healthy medical.";"en";"en";"nams_song@hotmail.com";"01287255231";"19 Shafeek Ghaly street, Haram.";"Egypt";"EG";"CA";"12556"
"Burner.tech";"en";"en";"Zakirehab@gmail.com";"01284242478";"44 elbatal ahmed abd aziz st., mohandessin";"Mohandessin, Giza";"EG";"الجيزه";"11511"
"Waha";"en";"en";"Johnny. Farag@elwaha.com.eg";"01278663888";"15 nakhla el motaaie heliopolis ";"Masr el gdeda";"EG";"CA";"112432"
"EL-Mokhtar";"en";"en";"mahmoudghazawy@outlook.com";"+201005226518";"CAIRO";"CAIRO";"EG";"القاهرة";"115148"
"Nor Elhoda";"en";"en";"hassanmohsen96@yahoo.com";"01005084565";"Dar Elsalam ";"Cairo";"EG";"القاهرة";"00"
"ELREADA43";"ar";"en";"elreada43@gmail.com";"01554253129";"الاسكندريه محرم بك ";"الاسكندرية";"EG";"الاسكندرية";"1111"
"Digital house";"en";"en";"krand_629@hotmail.com";"01111111111";"توتنجي";"حدائق حلوان";"EG";"القاهرة";"115145"
"العالمية ";"ar";"en";"ahmedhafez021@gmail.com";"01223307296";"44 شارع النفوس  متفرع من شارع محسن باشا محرم بك الاسكندرية ";"الاسكندرية ";"EG";"الاسكندرية";"21522"
"al haramain";"en";"en";"alharamainstore@outlook.com";"01150591405";"shubra al khaima";"cairo";"EG";"القاهرة";"6221101"
"ali afifi";"ar";"en";"elkookcom@gmail.com";"201091589191";"الفضل, قسم السيدة زينب";"القاهرة";"EG";"القاهرة";"11617"
"atic";"en";"en";"mahasoliman22061@gmail.com";"+2001143474882";"Cairo";"-";"EG";"القاهرة";"4444"
"Helaly";"";"en";"";"";"";"";"";"";""
